State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
VA,Charlotte County,19.2,28.4,"37,819"
VA,Chesterfield County,6.9,9.5,"75,107"
VA,Clarke County,8.4,10.4,"71,789"
VA,Craig County,11.9,21.7,"47,832"
VA,Culpeper County,10.2,14.9,"63,728"
VA,Cumberland County,19.6,30.8,"40,958"
VA,Dickenson County,25.0,33.0,"32,620"
VA,Dinwiddie County,12.4,17.5,"52,694"
VA,Essex County,15.5,26.7,"47,427"
VA,Fairfax County,6.2,7.5,"112,844"
VA,Fauquier County,6.8,8.3,"89,610"
VA,Floyd County,11.9,18.2,"48,448"
VA,Fluvanna County,7.8,10.4,"65,899"
VA,Franklin County,13.1,19.1,"49,117"
VA,Frederick County,7.7,10.7,"69,991"
VA,Giles County,10.6,17.6,"46,727"
VA,Gloucester County,9.3,14.7,"63,742"
VA,Goochland County,7.4,9.8,"86,257"
VA,Grayson County,20.1,29.4,"37,684"
VA,Greene County,9.3,13.9,"60,406"
VA,Greensville County,27.9,28.7,"40,252"
VA,Halifax County,16.9,25.6,"40,432"
VA,Hanover County,6.2,7.1,"81,900"
VA,Henrico County,9.3,13.0,"65,524"
VA,Henry County,19.6,30.5,"36,695"
VA,Highland County,13.8,24.2,"42,363"
VA,Isle of Wight County,9.9,13.1,"67,480"
VA,James City County,7.1,10.2,"77,668"
VA,King and Queen County,14.0,20.5,"47,513"
VA,King George County,7.1,9.6,"81,128"
VA,King William County,7.9,12.2,"64,651"
VA,Lancaster County,13.1,26.2,"47,098"
VA,Lee County,25.9,36.3,"32,135"
VA,Loudoun County,3.7,4.0,"125,900"
VA,Louisa County,10.6,16.7,"57,015"
VA,Lunenburg County,21.1,29.0,"38,941"
VA,Madison County,10.4,18.2,"53,655"
VA,Mathews County,10.2,17.9,"56,119"
VA,Mecklenburg County,20.4,27.5,"33,650"
VA,Middlesex County,12.8,25.1,"52,407"
VA,Montgomery County,20.8,15.2,"51,157"
VA,Nelson County,13.9,23.2,"49,621"
VA,New Kent County,6.7,10.2,"79,322"
VA,Northampton County,20.5,33.7,"37,515"
VA,Northumberland County,13.7,29.0,"52,075"
VA,Nottoway County,23.7,28.7,"39,544"
VA,Orange County,10.4,15.2,"59,482"
VA,Page County,15.0,23.2,"43,313"
VA,Patrick County,17.0,25.5,"37,360"
VA,Pittsylvania County,17.1,25.6,"42,390"
VA,Powhatan County,6.4,8.5,"77,761"
VA,Prince Edward County,22.3,29.1,"41,088"
VA,Prince George County,9.9,12.3,"63,320"
VA,Prince William County,6.7,9.0,"99,206"
